#bcg_cl_name   R500     M500      eM500     Rout    M*(<Rout)  eM*(<Rout)  M*tot     eM*tot     Rh2D   Rh3D  eRh3Dp Rhout eRhout    M*,noncD  eM*,noncD   M*,24V    R24,V  M*,Martizzi Rmart   M*(<30kpc) M*(<50kpc) M*(<0.03R500) M*(<0.05R500) M*(<0.1R500) M*(<0.25R500) M*(<0.5R500)  Mgas(<R500) eMgas(<R500)
#              kpc           Msun           kpc             Msun                  Msun            Rhalf(kpc)        (->M*out/2)         Msun (<r500)       Msun      kpc       Msun      kpc                                                     Msun
    a1795   1195.89  5.46e+14     6e+12    209.55   1.218e+12 9.327e+10    1.471e+12 1.327e+11  70.35  99.24  9.866  47.27    9.2    4.014e+12 7.485e+11   4.214e+11  33.89   4.954e+11  43.97    3.853e+11 5.293e+11 4.381e+11 5.758e+11 8.143e+11  1.27e+12 1.448e+12  5.34e+13     1e+12
    a1991   747.582  1.33e+14  3.67e+12    117.05   1.049e+12 5.061e+10    1.094e+12 6.061e+10  26.84  36.64  2.125  25.24  2.079    1.767e+12 4.059e+11   5.118e+11  33.47   6.875e+11  51.43    4.709e+11 6.755e+11 3.723e+11 5.549e+11 8.481e+11 1.084e+12 1.094e+12  1.34e+13     1e+12
    a2029   1387.14  8.64e+14   1.4e+13     270.7   3.422e+12 2.046e+11    4.144e+12 3.006e+11  62.87  83.95  7.206  44.24  5.606    8.206e+12 1.049e+12   1.721e+12  60.12   1.875e+12  69.44    1.044e+12 1.525e+12 1.338e+12 1.874e+12 2.535e+12 3.409e+12 3.959e+12  1.03e+14     1e+12
    a2052   839.508  1.84e+14     3e+12    186.11   1.082e+12 7.332e+10    1.257e+12 1.084e+11  40.12  53.48  3.111  30.67  3.803    2.216e+12 4.711e+11   4.663e+11  33.12   5.897e+11  47.78     4.35e+11 6.054e+11 3.822e+11  5.45e+11 7.679e+11  1.04e+12 1.227e+12  1.86e+13     1e+12
a2142_cD1   1539.01 1.196e+15     2e+13    219.85    1.95e+12 1.659e+11    3.125e+12 3.631e+11  128.7  179.2  40.73  52.07  8.884    1.222e+13 1.576e+12    6.24e+11  38.37   8.384e+11  57.23     5.18e+11 7.607e+11 7.173e+11 1.021e+12 1.463e+12 2.169e+12 2.801e+12  1.56e+14     1e+12
      a85   1235.26  5.98e+14     7e+12    307.87   2.491e+12 2.145e+11    3.062e+12  3.02e+11  117.2  173.6   23.6  69.27  18.73    5.279e+12 7.374e+11   8.236e+11  37.82   9.586e+11  51.32    7.117e+11 9.474e+11  8.14e+11 1.038e+12  1.33e+12 2.176e+12 2.963e+12     7e+13     1e+12
mkw3s_cD1   872.973  2.09e+14     3e+12    116.18   7.263e+11 3.455e+10    7.948e+11 4.843e+10  25.33  34.44   3.78  21.63  2.592    1.886e+12 4.907e+11   3.487e+11  27.54   4.342e+11  40.85    3.674e+11 4.781e+11 3.378e+11 4.485e+11 6.113e+11   7.8e+11 7.947e+11  2.35e+13     1e+12
     mkw4    567.62  5.61e+13  1.26e+12    132.65   8.678e+11 3.952e+10    9.094e+11 4.863e+10  21.51  29.47  1.634  19.74  1.894    9.714e+11   2.9e+11    4.31e+11  26.86   5.659e+11  44.41    4.593e+11 5.986e+11 3.277e+11  4.45e+11 6.327e+11 8.476e+11 9.085e+11   4.6e+12     1e+12
  rxj1159   567.782  5.95e+13  2.77e+12    141.57   1.098e+12 5.358e+10    1.382e+12 1.354e+11  23.64  31.45  4.635  14.84  2.167    4.693e+11 1.822e+11   6.835e+11  30.74   8.001e+11  44.98    6.758e+11 8.298e+11 4.975e+11 6.582e+11 8.632e+11 1.038e+12 1.184e+12  4.65e+12     1e+12
a2142_cD2   1539.01 1.196e+15     2e+13    100.72   7.829e+11 4.265e+10    8.499e+11 6.255e+10  23.02  30.94  1.499  20.32  1.715    1.222e+13 1.576e+12   3.994e+11  28.17   5.124e+11  43.25    4.166e+11 5.495e+11 5.291e+11 6.653e+11 8.185e+11 8.499e+11 8.499e+11  1.56e+14     1e+13
mkw3s_cD2   872.973  2.09e+14     3e+12     67.93   3.647e+11 1.634e+10    3.779e+11 3.917e+10  12.83  18.14  1.356  11.93  1.277    1.886e+12 4.907e+11   2.005e+11  20.32   2.738e+11  35.84    2.485e+11 3.202e+11 2.303e+11  3.02e+11 3.684e+11 3.779e+11 3.779e+11  2.35e+13     1e+12
